testing_performance,testing_complexity,training_performance,training_complexity,task_id,validation,seed
0.76,12623,0.7666666666666667,9035,168757,aggregated,30122
0.75,101701,0.7555555555555555,50431,168757,aggregated,30141
1.0,503,0.9871341227382359,503,359960,aggregated,30271
1.0,590,0.9839224093722808,370,359960,aggregated,30300
0.9130434782608695,52221,0.877574940358884,26736,146818,aggregated,30027
0.74,14831,0.7622222222222222,11771,168757,aggregated,30130
0.8205128205128205,660491,0.7691867124856815,419861,168784,aggregated,30312
0.9178082191780822,4111,0.9108231707317074,3921,359958,aggregated,30200
0.72,426,0.8038716970467712,183,359955,aggregated,30073
0.8578199052132701,26,0.8582718651211801,26,359962,aggregated,30346
0.8588235294117647,1445,0.8502106644564167,1445,190146,aggregated,30106
0.8985507246376812,2,0.8744476714033814,2,146818,aggregated,30011
0.8578199052132701,80462,0.8603793466807166,40987,359962,aggregated,30358
0.8102564102564103,126821,0.7686139747995419,74306,168784,aggregated,30324
0.8904109589041096,44991,0.9169207317073171,31981,359958,aggregated,30181
0.7114093959731543,288202,0.6097392920306314,147292,2073,aggregated,30270
0.8588235294117647,1446,0.8173746373808537,1446,190146,aggregated,30118
0.8256410256410256,369481,0.7709049255441008,275321,168784,aggregated,30328
0.7466666666666667,1072,0.8053730394234846,1072,359955,aggregated,30061
0.8672985781990521,44431,0.8645943097997892,22961,359962,aggregated,30354
0.697986577181208,177072,0.5962617493648386,87672,2073,aggregated,30266
0.8705882352941177,1031,0.8357542478242851,1031,190146,aggregated,30114
0.9130434782608695,35131,0.8808370500985374,19206,146818,aggregated,30003
0.8578199052132701,3,0.8577449947312961,3,359962,aggregated,30337
0.8904109589041096,28071,0.9123475609756098,15001,359958,aggregated,30193
1.0,472,0.9909959537208894,288,359960,aggregated,30290
0.7046979865771812,113941,0.5970080079720619,57161,2073,aggregated,30246
0.8773584905660378,865,0.8840972684876749,864,359956,aggregated,30156
0.6621621621621622,147,0.6646525679758308,147,359954,aggregated,30045
0.6756756756756757,132491,0.6827794561933535,69171,359954,aggregated,30038
1.0,868,0.9884252596334858,868,359960,aggregated,30282
0.6621621621621622,117641,0.6722054380664653,64403,359954,aggregated,30049
0.5945945945945946,38173,0.5539728324515956,34573,359959,aggregated,30212
0.6351351351351351,91,0.6510574018126889,91,359954,aggregated,30034
0.6621621621621622,46427,0.6601208459214502,24557,359954,aggregated,30057
0.7114093959731543,207182,0.5955031466302776,107582,2073,aggregated,30250
