testing_performance,testing_complexity,training_performance,training_complexity,task_id,validation,seed
0.6081081081081081,109,0.5682729551150604,109,359959,aggregated,10218
0.7046979865771812,260161,0.6157838626416788,235270,2073,aggregated,10243
0.7027027027027027,231,0.6856625961103574,231,359954,aggregated,10043
1.0,157,0.9967907361455748,157,359960,aggregated,10288
1.0,37251,1.0,32772,359960,aggregated,10296
0.6486486486486487,120396,0.6858208955223881,109104,359954,aggregated,10051
0.581081081081081,12051,0.5765948963317384,12133,359959,aggregated,10214
0.6216216216216216,73151,0.6979194934418814,66149,359954,aggregated,10032
1.0,208,0.996786600496278,208,359960,aggregated,10284
0.6912751677852349,166351,0.6232465492088429,149089,2073,aggregated,10255
0.8773584905660378,385,0.8809070548712207,345,359956,aggregated,10174
0.5405405405405406,20421,0.5796479835953521,18044,359959,aggregated,10222
0.76,2721,0.8083625987708516,2721,359955,aggregated,10086
0.8679245283018868,243381,0.8778275475923852,211411,359956,aggregated,10178
0.8773584905660378,211,0.8820380739081747,211,359956,aggregated,10166
0.5405405405405406,29731,0.5698393711551606,27103,359959,aggregated,10230
1.0,348242,0.9929197684036394,299204,359960,aggregated,10277
0.79,93431,0.7633333333333333,83791,168757,aggregated,10147
0.841025641025641,491501,0.8012446633825944,469209,168784,aggregated,10306
0.73,158651,0.7766666666666666,142852,168757,aggregated,10124
0.8256410256410256,333872,0.8012610837438423,305096,168784,aggregated,10318
0.79,4111,0.7766666666666666,3680,168757,aggregated,10128
0.9246575342465754,50301,0.9184767522553783,48279,359958,aggregated,10206
0.841025641025641,246821,0.8012676518883414,232781,168784,aggregated,10314
0.8695652173913043,51281,0.8743727598566308,46383,146818,aggregated,10021
0.7114093959731543,174552,0.6239591516103692,157483,2073,aggregated,10259
0.79,6995,0.7688888888888888,6298,168757,aggregated,10136
0.8985507246376812,24561,0.877547363031234,22271,146818,aggregated,10009
0.9246575342465754,54142,0.919939856581078,51726,359958,aggregated,10187
0.8256410256410256,490581,0.7978029556650246,467409,168784,aggregated,10322
0.8588235294117647,1446,0.8436602870813397,1446,190146,aggregated,10100
0.8840579710144928,12631,0.8873015873015874,11813,146818,aggregated,10017
0.9041095890410958,1195,0.9161808928984503,1193,359958,aggregated,10199
0.7733333333333333,306,0.8052677787532924,263,359955,aggregated,10075
0.8767772511848341,59276,0.8640796435533277,53681,359962,aggregated,10340
0.8815165876777251,232801,0.8688331940963521,211193,359962,aggregated,10331
0.9246575342465754,103441,0.9169153365718252,94068,359958,aggregated,10195
0.7181208053691275,364971,0.6262652900908989,328118,2073,aggregated,10263
0.7733333333333333,398,0.8039288849868307,398,359955,aggregated,10079
0.8153846153846154,155156,0.7995270935960591,141641,168784,aggregated,10330
0.8588235294117647,1445,0.8489405331510597,1445,190146,aggregated,10112
0.8840579710144928,393,0.8808499743983615,393,146818,aggregated,10005
0.7466666666666667,3041,0.802414398595259,2703,359955,aggregated,10067
0.8767772511848341,55856,0.8666945140629352,49584,359962,aggregated,10352
0.79,189611,0.768888888888889,167235,168757,aggregated,10134
0.8985507246376812,74631,0.882462877624168,67443,146818,aggregated,10023
1.0,1906,0.9974317617866004,1906,359960,aggregated,10279
0.841025641025641,231961,0.7990147783251232,215717,168784,aggregated,10308
0.78,72761,0.7699999999999999,65177,168757,aggregated,10149
0.9041095890410958,58671,0.9154291001619246,55190,359958,aggregated,10204
0.8102564102564103,463651,0.8024269293924465,439055,168784,aggregated,10316
0.7114093959731543,25,0.614252048030524,25,2073,aggregated,10262
0.8,1051,0.7766666666666666,1051,168757,aggregated,10126
0.8767123287671232,215,0.9214839232014805,214,359958,aggregated,10208
1.0,552,1.0,505,359960,aggregated,10275
0.75,24841,0.7633333333333333,22109,168757,aggregated,10138
0.79,2,0.7622222222222221,2,168757,aggregated,10145
0.8205128205128205,157611,0.797832512315271,144944,168784,aggregated,10304
0.8972602739726028,18761,0.9184304880869766,17283,359958,aggregated,10189
0.9130434782608695,59952,0.8840245775729647,53699,146818,aggregated,10007
0.8705882352941177,1445,0.8475393028024607,1445,190146,aggregated,10110
0.8672985781990521,19256,0.8635533277638541,18150,359962,aggregated,10350
0.6778523489932886,141791,0.6119683537201211,127767,2073,aggregated,10258
0.7733333333333333,4529,0.7978489903424056,4529,359955,aggregated,10065
0.8720379146919431,100751,0.8630297967140074,91098,359962,aggregated,10333
0.9315068493150684,58592,0.9237855655794588,52264,359958,aggregated,10197
0.855072463768116,54966,0.8792882744495648,48702,146818,aggregated,10015
0.8588235294117647,1446,0.8305023923444976,1446,190146,aggregated,10102
0.8388625592417062,82161,0.8619688109161794,74830,359962,aggregated,10342
0.7733333333333333,316,0.8008560140474099,276,359955,aggregated,10077
0.9383561643835616,44711,0.9115660421003933,43331,359958,aggregated,10185
0.8102564102564103,290091,0.7943218390804598,287663,168784,aggregated,10320
0.7733333333333333,7330,0.8081211589113257,7330,359955,aggregated,10069
0.6013513513513513,24001,0.5674299384825701,22857,359959,aggregated,10216
1.0,49341,1.0,46255,359960,aggregated,10286
1.0,489,0.9993589743589745,441,359960,aggregated,10298
0.6486486486486487,97661,0.6843962008141112,91024,359954,aggregated,10053
0.8773584905660378,53541,0.8788577827547591,50595,359956,aggregated,10152
1.0,583,1.0,529,359960,aggregated,10294
0.6486486486486487,65901,0.6796019900497512,60286,359954,aggregated,10041
0.7046979865771812,584311,0.6231848277409944,529338,2073,aggregated,10254
0.5608108108108109,1295,0.5645420369104579,1295,359959,aggregated,10232
0.8679245283018868,361,0.8830571108622619,361,359956,aggregated,10164
0.8705882352941177,1445,0.839747095010253,1445,190146,aggregated,10092
0.7733333333333333,16,0.8024363476733978,16,359955,aggregated,10084
0.5405405405405406,77711,0.5697596263385737,69644,359959,aggregated,10220
0.7733333333333333,2761,0.8008779631255487,2438,359955,aggregated,10088
0.8584905660377359,9501,0.8809182530795072,8586,359956,aggregated,10176
0.697986577181208,358961,0.618780159353608,323779,2073,aggregated,10242
0.8679245283018868,600,0.8925531914893616,600,359956,aggregated,10168
0.8720379146919431,239251,0.8656530214424951,217563,359962,aggregated,10346
0.6845637583892618,132021,0.6119795758051845,118530,2073,aggregated,10249
0.76,1549,0.8067164179104477,1549,359955,aggregated,10073
0.8840579710144928,60301,0.8807987711213517,55373,146818,aggregated,10011
0.8705882352941177,1445,0.843609022556391,1445,190146,aggregated,10106
0.8102564102564103,47088,0.7938062397372743,43771,168784,aggregated,10324
0.8578199052132701,100271,0.8672263993316625,92053,359962,aggregated,10358
0.8705882352941177,15378,0.8528024606971976,15378,190146,aggregated,10118
0.910958904109589,367,0.9268447837150129,367,359958,aggregated,10181
0.8767772511848341,136581,0.864614313561682,126501,359962,aggregated,10354
0.76,2016,0.8126426690079016,1824,359955,aggregated,10061
0.8307692307692308,254512,0.7989293924466339,247506,168784,aggregated,10328
0.8985507246376812,13371,0.8775217613927291,12334,146818,aggregated,10003
0.8588235294117647,830,0.8501537935748462,830,190146,aggregated,10114
0.8862559241706162,79636,0.8635449735449736,71602,359962,aggregated,10337
0.9246575342465754,3,0.9146599583622486,3,359958,aggregated,10193
0.69,8194,0.7622222222222221,8194,168757,aggregated,10122
0.76,57016,0.7744444444444444,52547,168757,aggregated,10141
1.0,615,1.0,558,359960,aggregated,10271
0.6912751677852349,99491,0.6067893614633599,89618,2073,aggregated,10265
1.0,667,0.9993548387096773,667,359960,aggregated,10300
0.78,130322,0.7633333333333333,117759,168757,aggregated,10130
0.8840579710144928,40871,0.8840245775729647,37622,146818,aggregated,10027
0.8102564102564103,381971,0.800679802955665,347762,168784,aggregated,10312
0.863013698630137,743,0.9222935461485079,741,359958,aggregated,10200
0.697986577181208,425421,0.6202839187521041,384005,2073,aggregated,10245
0.6013513513513513,11245,0.5713374344953293,11147,359959,aggregated,10224
0.8679245283018868,940,0.8883538633818588,939,359956,aggregated,10172
0.5878378378378378,88076,0.5728354978354978,69900,359959,aggregated,10236
0.8584905660377359,7137,0.8788577827547593,7137,359956,aggregated,10160
0.8705882352941177,1445,0.8330485304169514,1445,190146,aggregated,10096
0.7733333333333333,7582,0.8083625987708516,7656,359955,aggregated,10080
0.6912751677852349,302101,0.6141678823925485,272704,2073,aggregated,10253
0.581081081081081,1055,0.5833504215083163,948,359959,aggregated,10228
1.0,462,0.9987138130686517,462,359960,aggregated,10290
0.8773584905660378,693,0.8883762597984323,693,359956,aggregated,10156
0.6621621621621622,61201,0.6886928991406603,55838,359954,aggregated,10045
0.7027027027027027,63102,0.6962460425146992,57358,359954,aggregated,10038
0.6621621621621622,55921,0.6873586612392584,51462,359954,aggregated,10049
1.0,33601,0.9993548387096773,32248,359960,aggregated,10282
0.6621621621621622,215,0.6889642695612844,219,359954,aggregated,10034
